TYPE;Geom;Geo Local Area;geo_point_2d
Fixed Time;"{""coordinates"": [-123.14085837966893, 49.26794013185084], ""type"": ""Point""}";Fairview;49.26794013185084, -123.14085837966893
Pedestrian Actuated Signal;"{""coordinates"": [-123.10307868599308, 49.26023760553485], ""type"": ""Point""}";Mount Pleasant;49.26023760553485, -123.10307868599308
Fixed Time;"{""coordinates"": [-123.12275213968621, 49.28880217713405], ""type"": ""Point""}";Downtown;49.28880217713405, -123.12275213968621
Semi Actuated;"{""coordinates"": [-123.04955241467546, 49.25792358240096], ""type"": ""Point""}";Renfrew-Collingwood;49.25792358240096, -123.04955241467546
Fixed Time;"{""coordinates"": [-123.11191388815494, 49.28276104172003], ""type"": ""Point""}";Downtown;49.28276104172003, -123.11191388815494
Pedestrian Actuated Signal;"{""coordinates"": [-123.07349130845786, 49.26963157782045], ""type"": ""Point""}";Grandview-Woodland;49.26963157782045, -123.07349130845786
Pedestrian Actuated Signal;"{""coordinates"": [-123.10505081086575, 49.256638355324284], ""type"": ""Point""}";Mount Pleasant;49.256638355324284, -123.10505081086575
Pedestrian Actuated Signal;"{""coordinates"": [-123.09103413430437, 49.214844956000896], ""type"": ""Point""}";Sunset;49.214844956000896, -123.09103413430437
Pedestrian Actuated Signal;"{""coordinates"": [-123.13876787476246, 49.25799050660619], ""type"": ""Point""}";Fairview;49.25799050660619, -123.13876787476246
Pedestrian Actuated Signal;"{""coordinates"": [-123.07705842977934, 49.21638873008552], ""type"": ""Point""}";Sunset;49.21638873008552, -123.07705842977934
Pedestrian Actuated Signal;"{""coordinates"": [-123.07402378343606, 49.240176970860546], ""type"": ""Point""}";Kensington-Cedar Cottage;49.240176970860546, -123.07402378343606
Pedestrian Actuated Signal;"{""coordinates"": [-123.0969225935018, 49.240411796800366], ""type"": ""Point""}";Riley Park;49.240411796800366, -123.0969225935018
Semi Actuated;"{""coordinates"": [-123.11286744039336, 49.263916547284275], ""type"": ""Point""}";Mount Pleasant;49.263916547284275, -123.11286744039336
Fully Actuated;"{""coordinates"": [-123.14863465130436, 49.20940978579292], ""type"": ""Point""}";Kerrisdale;49.20940978579292, -123.14863465130436
Pedestrian Actuated Signal;"{""coordinates"": [-123.17209605824189, 49.25000888659749], ""type"": ""Point""}";Arbutus Ridge;49.25000888659749, -123.17209605824189
Semi Actuated;"{""coordinates"": [-123.10804685803896, 49.212402863984906], ""type"": ""Point""}";Marpole;49.212402863984906, -123.10804685803896
FH;"{""coordinates"": [-123.07721200542836, 49.21957255955497], ""type"": ""Point""}";Victoria-Fraserview;49.21957255955497, -123.07721200542836
Fully Actuated;"{""coordinates"": [-123.02357992208734, 49.25471849562075], ""type"": ""Point""}";Renfrew-Collingwood;49.25471849562075, -123.02357992208734
Fully Actuated;"{""coordinates"": [-123.07640496477305, 49.24020919770482], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24020919770482, -123.07640496477305
Fully Actuated;"{""coordinates"": [-123.07755517603569, 49.25962215364831], ""type"": ""Point""}";Mount Pleasant;49.25962215364831, -123.07755517603569
