TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,CRIME_CATEGORY
Break and Enter Commercial,2020,5,6,20,6,7XX DUNSMUIR ST,Central Business District,491485.3891,5459049.9518,Commercial
Break and Enter Commercial,2020,11,8,11,0,7XX E 17TH AVE,Kensington-Cedar Cottage,493502.7696,5455870.2425,Commercial
Break and Enter Commercial,2020,4,27,1,0,7XX E 26TH AVE,Kensington-Cedar Cottage,493452.6513,5454980.8903,Commercial
Break and Enter Commercial,2020,4,14,7,16,9XX DENMAN ST,West End,489985.926,5459706.1384,Commercial
Break and Enter Commercial,2020,8,18,4,3,9XX E BROADWAY AVE,Mount Pleasant,493800.5273,5456631.297,Commercial
Break and Enter Commercial,2020,3,17,11,17,9XX E BROADWAY AVE,Mount Pleasant,493806.0671,5456640.3715,Commercial
Break and Enter Commercial,2020,9,4,5,15,9XX E BROADWAY AVE,Mount Pleasant,493816.3373,5456631.0964,Commercial
Break and Enter Commercial,2020,7,21,10,25,9XX E BROADWAY AVE,Mount Pleasant,493899.5417,5456639.1866,Commercial
Break and Enter Commercial,2020,9,21,7,59,9XX E HASTINGS ST,Strathcona,493872.3133,5458696.2668,Commercial
Break and Enter Commercial,2020,8,3,4,46,9XX E HASTINGS ST,Strathcona,493914.4345,5458703.8807,Commercial
Break and Enter Commercial,2020,8,4,4,40,9XX E HASTINGS ST,Strathcona,493925.8441,5458703.4645,Commercial
Break and Enter Commercial,2020,10,20,2,20,9XX E HASTINGS ST,Strathcona,493925.8441,5458703.4645,Commercial
Break and Enter Commercial,2020,1,3,8,51,9XX E HASTINGS ST,Strathcona,493957.7881,5458702.2994,Commercial
Break and Enter Commercial,2020,11,13,0,0,9XX EVANS AVE,Strathcona,493872.3523,5457612.226,Commercial
Break and Enter Commercial,2020,6,9,11,38,9XX EXPO BLVD,Central Business District,491595.6639,5458049.0719,Commercial
Break and Enter Commercial,2020,4,5,12,24,9XX EXPO BLVD,Central Business District,491601.1566,5458068.7229,Commercial
Break and Enter Commercial,2020,7,14,6,50,9XX GRANVILLE ST,Central Business District,491053.7278,5458516.1486,Commercial
Break and Enter Commercial,2020,4,3,23,0,9XX GRANVILLE ST,Central Business District,491060.1695,5458509.6588,Commercial
Break and Enter Commercial,2020,2,23,18,1,9XX GRANVILLE ST,Central Business District,491093.3955,5458555.522,Commercial
Break and Enter Commercial,2020,11,17,7,55,9XX GRANVILLE ST,Central Business District,491099.2007,5458548.4001,Commercial
